id,category,origin,ground_truth,structure_category,defect_type,source_url,source_file,property,expected,actual,classification_correct,diagnostic_match,diagnostic,expected_nodes,actual_nodes,node_count_match,parse_us,generation_median_us,c_compiled,runtime_supported,target_reached,sanitizer_clean,sanitizer_matched,baseline_attempts,baseline_compiled,baseline_target_hits,baseline_sanitizer_hits,case_passed,tool_output
"E01-sv-sll2n-append-equal","sv-comp-list-simple","SV-Benchmarks","good","singly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2n_append_equal.c","unreach-call=true; valid-memsafety=true",SAFE,SAFE,true,true,"",3,3,true,260.857,50.027,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E02-sv-sll2n-append-unequal","sv-comp-list-simple","SV-Benchmarks","good","singly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2n_append_unequal.c","unreach-call=true; valid-memsafety=true",SAFE,SAFE,true,true,"",3,3,true,227.956,36.332,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E03-sv-sll2n-insert-equal","sv-comp-list-simple","SV-Benchmarks","good","singly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2n_insert_equal.c","unreach-call=true; valid-memsafety=true",SAFE,SAFE,true,true,"",3,3,true,319.286,32.991,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E04-sv-sll2n-insert-unequal","sv-comp-list-simple","SV-Benchmarks","good","singly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2n_insert_unequal.c","unreach-call=true; valid-memsafety=true",SAFE,SAFE,true,true,"",3,3,true,216.442,18.976,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E05-sv-sll2n-remove-all","sv-comp-list-simple","SV-Benchmarks","good","singly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2n_remove_all.c","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"requires modelling pointer-to-pointer root updates across a loop",,,true,0.000,0.000,,false,,,,,,,,true,""
"E06-sv-sll2n-update-all","sv-comp-list-simple","SV-Benchmarks","good","singly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2n_update_all.c","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"requires automatic loop unrolling and scalar loop-variable constraints",,,true,0.000,0.000,,false,,,,,,,,true,""
"E07-sv-sll2c-append-equal","sv-comp-list-simple","SV-Benchmarks","good","cycle","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2c_append_equal.c","unreach-call=true; valid-memsafety=true",SAFE,SAFE,true,true,"",3,3,true,291.377,25.948,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E08-sv-sll2c-append-unequal","sv-comp-list-simple","SV-Benchmarks","good","cycle","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2c_append_unequal.c","unreach-call=true; valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"no automatic extractor for the loop and pointer-to-pointer append path",,,true,0.000,0.000,,false,,,,,,,,true,""
"E09-sv-sll2c-remove-all","sv-comp-list-simple","SV-Benchmarks","good","cycle","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2c_remove_all.c","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"requires cyclic traversal, repeated free and pointer-to-pointer root updates",,,true,0.000,0.000,,false,,,,,,,,true,""
"E10-sv-sll2c-update-all","sv-comp-list-simple","SV-Benchmarks","good","cycle","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/sll2c_update_all.c","unreach-call=true; valid-memsafety=true",SAFE,SAFE,true,true,"",2,2,true,428.103,14.655,true,true,true,true,,100,true,1,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E11-sv-dll2n-append-equal","sv-comp-list-simple","SV-Benchmarks","good","doubly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/dll2n_append_equal.c","unreach-call=true; valid-memsafety=true",SAFE,SAFE,true,true,"",3,3,true,226.905,65.201,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E12-sv-dll2n-append-unequal","sv-comp-list-simple","SV-Benchmarks","good","doubly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/dll2n_append_unequal.c","unreach-call=true; valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"no automatic extractor for pointer-to-pointer append and traversal loops",,,true,0.000,0.000,,false,,,,,,,,true,""
"E13-sv-dll2n-remove-all-reverse","sv-comp-list-simple","SV-Benchmarks","good","doubly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/dll2n_remove_all_reverse.c","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"requires nested traversal loops and repeated deallocation with root mutation",,,true,0.000,0.000,,false,,,,,,,,true,""
"E14-sv-dll2c-append-equal","sv-comp-list-simple","SV-Benchmarks","good","cycle","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/dll2c_append_equal.c","unreach-call=true; valid-memsafety=true",SAFE,SAFE,true,true,"",3,3,true,347.056,45.155,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E15-sv-dll2c-append-unequal","sv-comp-list-simple","SV-Benchmarks","good","cycle","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/dll2c_append_unequal.c","unreach-call=true; valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"no automatic extractor for cyclic pointer-to-pointer append",,,true,0.000,0.000,,false,,,,,,,,true,""
"E16-sv-dll2c-remove-all-reverse","sv-comp-list-simple","SV-Benchmarks","good","cycle","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/list-simple/dll2c_remove_all_reverse.c","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"requires cyclic reverse traversal, repeated free and root mutation",,,true,0.000,0.000,,false,,,,,,,,true,""
"E17-sv-tree-1","sv-comp-heap-manipulation","SV-Benchmarks","buggy","tree","null-dereference","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/tree-1.c","valid-deref=false",VIOLATION,VIOLATION,true,true,"dereference of NULL pointer node",0,0,true,440.448,8.163,true,true,true,false,true,100,true,100,100,true,"HEAP_MAPPER_TARGET_REACHED reports/all-v1/generated/E17-sv-tree-1-runtime.c:30:18: runtime error: member access within null pointer of type 'struct TreeNode'"
"E18-sv-tree-2","sv-comp-heap-manipulation","SV-Benchmarks","buggy","tree","null-dereference","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/tree-2.c","unreach-call=false; valid-deref=false",UNSUPPORTED,UNSUPPORTED,true,true,"warning path depends on nondeterministic tree construction and interprocedural loops",,,true,0.000,0.000,,false,,,,,,,,true,""
"E19-sv-tree-3","sv-comp-heap-manipulation","SV-Benchmarks","good","tree","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/tree-3.c","unreach-call=true",SAFE,SAFE,true,true,"",2,2,true,240.841,19.836,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"E20-sv-tree-4","sv-comp-heap-manipulation","SV-Benchmarks","buggy","tree","memory-leak","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/tree-4.c","unreach-call=false; valid-memcleanup=false",UNSUPPORTED,UNSUPPORTED,true,true,"memory-leak and memcleanup properties are outside the current path model",,,true,0.000,0.000,,false,,,,,,,,true,""
"E21-sv-sll-to-dll-1","sv-comp-heap-manipulation","SV-Benchmarks","buggy","doubly-list","memory-leak","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/sll_to_dll_rev-1.c","unreach-call=false; valid-memcleanup=false",UNSUPPORTED,UNSUPPORTED,true,true,"memcleanup property and whole-program conversion loops are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E22-sv-sll-to-dll-2","sv-comp-heap-manipulation","SV-Benchmarks","good","doubly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/sll_to_dll_rev-2.c","unreach-call=true; valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"requires automatic interprocedural path extraction and loop unrolling",,,true,0.000,0.000,,false,,,,,,,,true,""
"E23-sv-dll-of-dll-1","sv-comp-heap-manipulation","SV-Benchmarks","good","nested-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/dll_of_dll-1.c","unreach-call=true; valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"uses heterogeneous nested recursive structures; the model supports one structure type",,,true,0.000,0.000,,false,,,,,,,,true,""
"E24-sv-dll-of-dll-2","sv-comp-heap-manipulation","SV-Benchmarks","buggy","nested-list","memory-leak","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/dll_of_dll-2.c","unreach-call=false; valid-memcleanup=false",UNSUPPORTED,UNSUPPORTED,true,true,"heterogeneous nested structures and memcleanup are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E25-sv-merge-sort-1","sv-comp-heap-manipulation","SV-Benchmarks","buggy","singly-list","memory-leak","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/merge_sort-1.c","unreach-call=false; valid-memcleanup=false",UNSUPPORTED,UNSUPPORTED,true,true,"recursive sorting and memcleanup properties are outside the current model",,,true,0.000,0.000,,false,,,,,,,,true,""
"E26-sv-merge-sort-2","sv-comp-heap-manipulation","SV-Benchmarks","good","singly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/merge_sort-2.c","unreach-call=true; valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"recursive interprocedural control flow is not converted to the DSL automatically",,,true,0.000,0.000,,false,,,,,,,,true,""
"E27-sv-bubble-sort-1","sv-comp-heap-manipulation","SV-Benchmarks","good","doubly-list","none","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/bubble_sort_linux-1.c","unreach-call=true; valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"Linux-style list macros, container casts and nested loops are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E28-sv-bubble-sort-2","sv-comp-heap-manipulation","SV-Benchmarks","buggy","doubly-list","memory-leak","https://gitlab.com/sosy-lab/benchmarking/sv-benchmarks","c/heap-manipulation/bubble_sort_linux-2.c","unreach-call=false; valid-memcleanup=false",UNSUPPORTED,UNSUPPORTED,true,true,"container casts, list macros and memcleanup properties are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E29-sard-cwe416-int-01-bad","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","buggy","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_01_bad","valid-memsafety=false",UNSUPPORTED,UNSUPPORTED,true,true,"allocates an int array rather than a self-referential structure",,,true,0.000,0.000,,false,,,,,,,,true,""
"E30-sard-cwe416-int-01-good","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","good","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_01_good","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"allocates an int array rather than a self-referential structure",,,true,0.000,0.000,,false,,,,,,,,true,""
"E31-sard-cwe416-int-02-bad","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","buggy","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_02_bad","valid-memsafety=false",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and control-flow guards are outside the structure DSL",,,true,0.000,0.000,,false,,,,,,,,true,""
"E32-sard-cwe416-int-02-good","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","good","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_02_good","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and control-flow guards are outside the structure DSL",,,true,0.000,0.000,,false,,,,,,,,true,""
"E33-sard-cwe416-int-03-bad","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","buggy","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_03_bad","valid-memsafety=false",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and global control-flow guards are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E34-sard-cwe416-int-03-good","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","good","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_03_good","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and global control-flow guards are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E35-sard-cwe416-int-04-bad","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","buggy","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_04_bad","valid-memsafety=false",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and static control-flow guards are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E36-sard-cwe416-int-04-good","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","good","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_04_good","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and static control-flow guards are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E37-sard-cwe416-int-05-bad","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","buggy","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_05_bad","valid-memsafety=false",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and global boolean control flow are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E38-sard-cwe416-int-05-good","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","good","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_05_good","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and global boolean control flow are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E39-sard-cwe416-int-06-bad","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","buggy","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_06_bad","valid-memsafety=false",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and static boolean control flow are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
"E40-sard-cwe416-int-06-good","SARD-Juliet-CWE416","NIST SARD Juliet via SV-Benchmarks","good","scalar-allocation","use-after-free","https://samate.nist.gov/SARD/test-suites/108","CWE416_Use_After_Free__malloc_free_int_06_good","valid-memsafety=true",UNSUPPORTED,UNSUPPORTED,true,true,"scalar arrays and static boolean control flow are unsupported",,,true,0.000,0.000,,false,,,,,,,,true,""
