id,category,origin,ground_truth,structure_category,defect_type,source_url,source_file,property,expected,actual,classification_correct,diagnostic_match,diagnostic,expected_nodes,actual_nodes,node_count_match,parse_us,generation_median_us,c_compiled,runtime_supported,target_reached,sanitizer_clean,sanitizer_matched,baseline_attempts,baseline_compiled,baseline_target_hits,baseline_sanitizer_hits,case_passed,tool_output
"C05-cycle-6","composite-cycle","internal","safe","composite-cycle","composite-cycle","","","",SAFE,SAFE,true,true,"",6,6,true,353.628,194.225,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"C06-lollipop-cycle-7","composite-cycle","internal","safe","composite-cycle","composite-cycle","","","",SAFE,SAFE,true,true,"",7,7,true,320.076,226.925,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"C07-full-tree-7","composite-tree","internal","safe","composite-tree","composite-tree","","","",SAFE,SAFE,true,true,"",7,7,true,339.393,200.287,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"C08-full-tree-15","composite-tree","internal","safe","composite-tree","composite-tree","","","",SAFE,SAFE,true,true,"",15,15,true,310.143,350.717,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"C09-shared-subtree-dag-8","composite-tree-aliasing","internal","safe","composite-tree-aliasing","composite-tree-aliasing","","","",SAFE,SAFE,true,true,"",8,8,true,409.994,245.142,true,true,true,true,,100,true,1,0,true,"HEAP_MAPPER_TARGET_REACHED"
"C10-sparse-zigzag-tree-9","composite-tree","internal","safe","composite-tree","composite-tree","","","",SAFE,SAFE,true,true,"",9,9,true,391.161,181.921,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"C11-free-tree-leaf-7","composite-memory-safety","internal","safe","composite-memory-safety","composite-memory-safety","","","",SAFE,SAFE,true,true,"",7,7,true,246.222,66.723,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"C12-cyclic-tree-graph-9","composite-graph","internal","safe","composite-graph","composite-graph","","","",SAFE,SAFE,true,true,"",9,9,true,285.255,99.913,true,true,true,true,,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED"
"I01-deep-null-deref","composite-null-dereference","internal","violation","composite-null-dereference","composite-null-dereference","","","",VIOLATION,VIOLATION,true,true,"dereference of NULL pointer missing",,7,true,309.183,58.459,true,true,true,false,true,100,true,0,0,true,"HEAP_MAPPER_TARGET_REACHED reports/all-v1/generated/I01-deep-null-deref-runtime.c:93:46: runtime error: member access within null pointer of type 'struct Node'"
"I02-deep-numeric-conflict","composite-constraint-conflict","internal","unsat","composite-constraint-conflict","composite-constraint-conflict","","","",UNSAT,UNSAT,true,true,"conflicting numeric constraint for n8.key",,,true,230.307,32.791,,,,,,100,,,,true,""
"I03-deep-pointer-conflict","composite-constraint-conflict","internal","unsat","composite-constraint-conflict","composite-constraint-conflict","","","",UNSAT,UNSAT,true,true,"n7.next has conflicting pointer values",,,true,177.619,24.848,,,,,,100,,,,true,""
"I04-cycle-tail-conflict","composite-cycle","internal","unsat","composite-cycle","composite-cycle","","","",UNSAT,UNSAT,true,true,"n6.next has conflicting pointer values",,,true,97.872,32.431,,,,,,100,,,,true,""
